ticker,Return,Volatility,Sharpe,Min_Corr,Corr_value,D,W,M,3M,6M,A,YTD
WEC,1.41%,42.05%,0.03,VNT,-0.01,1.68%,-1.48%,-3.08%,-4.45%,6.37%,2.49%,-1.42%
WFC,-47.77%,60.13%,-0.79,CLX,0.05,-3.86%,-0.44%,10.35%,28.96%,18.92%,-41.65%,2.19%
WELL,-19.41%,73.07%,-0.27,SJM,-0.07,-3.24%,-1.84%,2.60%,18.60%,27.63%,-17.19%,-3.93%
WST,62.55%,37.89%,1.65,VNT,0.00,-2.15%,0.28%,2.96%,3.12%,24.86%,89.05%,5.30%
WDC,-14.52%,67.93%,-0.21,CLX,0.03,2.17%,-0.98%,23.42%,51.55%,25.46%,-10.89%,-5.31%
WU,-10.69%,42.23%,-0.25,VNT,0.14,1.40%,0.59%,-1.79%,3.39%,3.51%,-14.72%,6.29%
WRK,0.02%,64.85%,0.00,CLX,0.06,-4.63%,2.17%,3.13%,25.91%,55.81%,4.63%,-4.27%
WY,10.20%,67.29%,0.15,KR,0.09,-2.84%,2.12%,16.14%,18.26%,50.17%,13.04%,-1.76%
WHR,29.76%,60.20%,0.49,VNT,0.15,2.90%,1.89%,-7.26%,-1.21%,41.19%,26.52%,7.79%
WMB,-1.86%,62.69%,-0.03,CLX,-0.02,-1.07%,-4.00%,-2.70%,3.89%,9.41%,-8.20%,7.13%
WLTW,4.02%,39.23%,0.10,CARR,0.07,-2.02%,-0.07%,1.54%,1.24%,7.69%,5.83%,-1.53%
WYNN,-28.73%,83.11%,-0.35,HRL,-0.20,-4.82%,1.15%,12.27%,57.12%,51.47%,-18.07%,-9.59%
XEL,4.83%,38.30%,0.13,CARR,0.05,-3.02%,-0.31%,-0.37%,-2.75%,8.05%,7.77%,-3.24%
XRX,-48.01%,64.10%,-0.75,KR,-0.01,-0.95%,-6.31%,7.11%,24.91%,55.43%,-33.61%,-10.13%
XLNX,29.73%,48.12%,0.62,VNT,0.11,-7.29%,4.64%,-2.60%,36.39%,45.03%,47.23%,-5.04%
XYL,23.12%,44.74%,0.52,KR,0.18,-1.29%,-0.87%,6.06%,21.35%,57.65%,30.90%,-1.81%
YUM,3.40%,41.81%,0.08,CLX,-0.03,-4.06%,0.44%,2.61%,19.44%,26.09%,9.85%,-4.52%
ZBRA,40.01%,48.10%,0.83,NEM,0.16,-0.96%,-0.09%,1.56%,52.23%,50.16%,50.46%,2.63%
ZBH,5.16%,48.09%,0.11,CPB,-0.08,-3.55%,0.56%,3.50%,13.37%,29.53%,3.77%,2.40%
ZION,-9.15%,58.16%,-0.16,KR,-0.11,-4.86%,-2.08%,12.57%,49.95%,30.12%,-13.17%,3.66%
ZTS,17.27%,38.24%,0.45,KR,0.08,-4.11%,1.25%,3.19%,0.20%,21.09%,25.76%,-3.42%
