ticker,Return,Volatility,Sharpe,Min_Corr,Corr_value,D,W,M,3M,6M,A,YTD
AAL,-0.43216548625081574,0.9815088599246402,-0.44030726965011524,MDB,-1.0,-1.14%,8.53%,8.88%,52.22%,54.41%,nan%,9.00%
AAON,0.4026865316944974,0.4928831488591418,0.817002027004942,AEM,-1.0,1.76%,1.73%,11.06%,27.05%,25.25%,nan%,16.52%
AAPL,0.5662595701569024,0.45880646676928544,1.2342013706656203,LSXMB,-1.0,2.58%,-5.11%,-0.55%,21.43%,24.62%,nan%,3.07%
ABCB,0.05261131706408425,0.7214808633757118,0.07292129248989776,QS,-1.0000000000000002,4.53%,-11.76%,2.73%,34.02%,71.26%,nan%,15.58%
ABCL,-1.602680015298972,0.9237258253997467,-1.7350170052952723,AFRM,-0.4414514668859249,-4.06%,4.61%,31.29%,nan%,nan%,nan%,15.68%
ABCM,0.4795222030899361,0.4553860069780192,1.0530016200367833,GEF,-0.5391543814014463,0.72%,-1.95%,7.33%,21.74%,nan%,nan%,5.10%
ABMD,0.6191326370953647,0.45371998647951955,1.3645699011394812,AVIR,-0.5735515789698508,-0.44%,0.10%,7.42%,38.26%,16.11%,nan%,1.13%
ABNB,1.9885203364016053,0.803721838808308,2.474139982745794,LANC,-1.0000000000000002,5.43%,0.97%,25.09%,nan%,nan%,nan%,33.04%
ACAD,0.22713579171502632,0.5373772430937512,0.4226747496923684,MPLN,-1.0000000000000002,3.55%,-9.05%,-10.12%,3.44%,15.59%,nan%,-3.29%
ACCD,7.632739036606885,5.204599403808646,1.4665372768212215,IX,-0.6527280165867579,-1.23%,-14.22%,16.53%,44.75%,56.26%,nan%,22.51%
ACGL,-0.22803332292325817,0.5620357816733625,-0.4057274115970501,BFT,-1.0,2.11%,-5.70%,-12.92%,3.97%,2.15%,nan%,-6.29%
ACHC,0.4555546543720456,0.7903135527730631,0.5764226777759146,ARCT,-1.0,0.85%,-2.56%,0.84%,42.16%,70.01%,nan%,8.24%
ACIA,0.47837851973309775,0.30433792629685597,1.5718662657459257,CD,-1.0000000000000002,0.18%,-0.07%,56.80%,68.88%,68.28%,nan%,57.32%
ACIW,0.052816900275140244,0.5436224815391009,0.09715731425529962,CLOV,-1.0,1.54%,-4.74%,-0.10%,31.61%,43.30%,nan%,5.46%
ADBE,0.3611939556849116,0.46709052486215435,0.773284698488597,RSI,-1.0,1.55%,-2.89%,-8.27%,2.61%,3.25%,nan%,-1.60%
ADI,0.22857401072007294,0.49048519501154764,0.46601612657175423,DNMR,-1.0,1.99%,-5.30%,-0.27%,24.85%,29.51%,nan%,0.70%
ADP,0.007457389627026761,0.43518149984394655,0.017136274473296628,BNR,-1.0,2.24%,1.94%,-6.29%,5.10%,25.74%,nan%,-5.06%
ADPT,0.6618434522631539,0.7036596602191137,0.9405732482334732,RXT,-0.2184019315006919,-0.52%,-18.11%,-6.19%,20.38%,48.63%,nan%,3.77%
ADSK,0.4609693333630283,0.4965376075317711,0.928367411391962,ACI,-1.0000000000000002,2.61%,-7.27%,-9.14%,17.78%,17.34%,nan%,0.17%
ADV,-0.033195450608769994,0.31422186546686526,-0.10564335031061185,PPL,-1.0,1.32%,-12.83%,-25.74%,8.79%,-11.09%,nan%,-23.84%
AEIS,0.42006679998377977,0.6842189964750127,0.6139361843911043,INO,-1.0,3.91%,-13.67%,5.79%,52.04%,39.43%,nan%,16.70%
AEP,-0.08726858037070874,0.37320874621855843,-0.2338331597395162,PRAX,-1.0000000000000002,1.14%,-1.43%,-2.83%,-9.29%,-5.33%,nan%,-1.30%
AFRM,1.1173889744139012,1.0610132958148046,1.0531338097472218,ABCL,-1.0,-1.96%,-16.97%,nan%,nan%,nan%,nan%,nan%
AFYA,-0.0878414955650362,0.6552547160059632,-0.13405702152052393,BFT,-0.2706081417711742,3.71%,-5.41%,-12.25%,-7.50%,-15.11%,nan%,-1.78%
AGIO,0.1016885121622114,0.6214567930759194,0.1636292551552957,ABNB,-0.3305736735091336,-1.48%,-1.05%,8.40%,17.22%,3.64%,nan%,21.95%
AGNC,0.028152749554550875,0.48105830828653023,0.05852253057394947,QDEL,-0.29182213569891324,0.43%,-2.61%,0.77%,14.27%,20.42%,nan%,5.29%
AHCO,1.083995060721401,0.679394518369433,1.5955310668726344,LSXMB,-0.21068146813435543,-5.09%,0.71%,1.89%,40.18%,96.46%,nan%,-4.85%
AIMC,0.4130460303645482,0.7639060648921591,0.5407026457145069,LU,-0.3338581274330016,1.72%,-8.90%,-7.25%,20.36%,50.50%,nan%,1.84%
AKAM,0.2505296993431412,0.38162730185750676,0.6564774011810213,AEO,-0.7218680318591134,0.46%,1.81%,5.75%,16.73%,-1.25%,nan%,9.22%
ALGM,2.0082748035624016,0.8097886153903555,2.479998811287709,ACIA,-1.0000000000000002,9.10%,-16.66%,4.73%,52.57%,nan%,nan%,13.24%
ALGN,0.7276708324741097,0.6813899971267218,1.0679212133176954,BTRS,-1.0,12.63%,-1.63%,-1.68%,23.31%,78.81%,nan%,16.11%
ALGT,0.194818047804187,0.8203478307464619,0.23748224899542372,SRNE,-1.0,13.46%,-5.19%,-4.10%,34.68%,62.00%,nan%,12.81%
ALKS,0.13553077212280987,0.5092153322381041,0.2661561102787789,LAZR,-0.4516849150682477,-1.14%,-5.41%,5.21%,29.17%,16.55%,nan%,11.93%
ALLK,0.397702531731957,0.7013901135807986,0.5670204413084339,NIU,-1.0,2.40%,0.76%,-4.76%,40.16%,77.61%,nan%,2.96%
ALLO,0.2798963988226292,0.7052003558579643,0.3969033714994376,MRVI,-0.7387532564453518,0.88%,12.81%,37.48%,2.30%,-5.37%,nan%,39.54%
ALNY,0.3260276676186845,0.4675231384752086,0.6973508705515605,JBLU,-0.5375987855908136,4.40%,-12.70%,15.78%,22.37%,3.24%,nan%,27.04%
ALRM,0.7951682020161284,0.5339721165592428,1.489156788073421,ACIA,-0.41084378588336457,-0.23%,-4.21%,-10.18%,59.30%,32.67%,nan%,-1.29%
ALTR,0.5159712096660132,0.5057777075495568,1.0201541150673543,MP,-1.0,3.86%,-6.39%,-3.87%,29.98%,38.78%,nan%,11.10%
ALVR,1.04453566768252,1.1538080913880466,0.9052941086813922,NEA,-1.0,2.24%,-14.34%,-4.86%,38.37%,46.87%,nan%,13.68%
ALXN,0.3382604092888587,0.4517311564195731,0.7488091190563764,LTRPB,-1.0,0.55%,-4.01%,-1.86%,33.17%,49.60%,nan%,-1.48%
ALXO,1.76819069414937,0.9588537157748901,1.8440672076036337,ATCO,-0.9999999999999999,3.52%,-2.72%,-8.06%,100.58%,142.35%,nan%,-7.05%
AMAT,0.4685684281565044,0.5953957750624262,0.7869864849265613,ZM,-1.0,3.37%,-9.08%,12.03%,63.71%,51.23%,nan%,16.70%
AMBA,0.5354115310142404,0.6508660839985135,0.8226139664937023,VLDR,-1.0,4.85%,-16.42%,2.77%,72.60%,108.39%,nan%,22.72%
AMD,0.543015393746321,0.5911776512447379,0.9185316674319299,BNL,-0.2580065860322558,-0.06%,-7.71%,-6.62%,13.75%,10.60%,nan%,-4.15%
AMED,0.5309675642770374,0.4940738632760687,1.0746724401819936,FUBO,-1.0,1.50%,-8.37%,-2.05%,10.93%,22.70%,nan%,1.88%
AMGN,0.01668586983520566,0.3699063786639443,0.04510835929748749,ABCM,-1.0,0.06%,-4.76%,5.01%,12.04%,0.01%,nan%,2.78%
AMKR,0.2999886551313093,0.7373633013093902,0.4068396875713741,PTVE,-1.0000000000000002,4.83%,-15.97%,2.92%,31.31%,14.41%,nan%,18.37%
AMRN,-0.8352918874852631,1.416990221305676,-0.5894831699795282,MPLX,-0.3118964255655519,-2.27%,14.50%,53.37%,54.32%,15.74%,nan%,72.19%
AMRS,1.2355140757016354,1.2135750144937905,1.0180780429275698,IPOE,-1.0,2.29%,-9.53%,52.10%,276.00%,119.63%,nan%,96.28%
AMZN,0.5324157566237919,0.37697171869411034,1.4123493360938701,BSY,-0.24913771882779656,0.56%,-2.61%,-1.56%,5.60%,1.31%,nan%,2.92%
ANAT,-0.1828759575899714,0.44521524865578144,-0.41075852218027264,ASAN,-1.0,1.34%,-7.04%,-8.05%,29.69%,22.49%,nan%,-4.02%
ANGI,0.5662183213827073,0.7167790156296265,0.7899482393263633,ALXO,-0.47879520777305634,-7.40%,12.02%,5.91%,31.89%,-11.46%,nan%,23.11%
ANSS,0.35723755703504156,0.4523872603448048,0.7896720096908981,GME,-1.0,1.98%,-5.39%,-2.59%,16.43%,14.09%,nan%,4.31%
APA,-0.40626593319723003,1.3028284132577737,-0.3118337987282194,OPEN,-0.39683149614876395,-0.67%,-12.82%,0.78%,72.29%,-6.59%,nan%,14.47%
APHA,1.1108205386681447,0.8252154328946033,1.3460976302536247,CD,-0.37665930643535095,-0.96%,-5.73%,76.01%,170.67%,155.08%,nan%,140.90%
API,1.1015124772144536,0.9503151345250127,1.1591023200582957,SI,-0.29935716476810237,-2.86%,21.80%,42.80%,46.73%,29.74%,nan%,150.25%
APLS,0.34998175206389653,0.7734783556317685,0.4524777578010381,LBTYB,-1.0,1.12%,-3.09%,-22.60%,38.78%,70.99%,nan%,-19.27%
APPF,0.3117177700692193,0.6843098888748933,0.4555213582865643,BNR,-1.0,2.22%,-2.67%,-15.12%,6.96%,9.76%,nan%,-12.38%
APPN,1.6320774277090788,0.9193580927740357,1.7752358308877352,CNX,-1.0,7.90%,6.64%,34.78%,245.12%,329.45%,nan%,39.64%
APPS,2.275830522415463,0.978286794125971,2.3263428843979788,HIMS,-1.0,19.79%,-15.78%,1.15%,99.62%,312.18%,nan%,55.73%
ARCC,0.07029727465058527,0.6101901019611812,0.1152055309069196,BTRS,-0.2701955087571921,0.34%,-1.14%,2.43%,28.11%,29.20%,nan%,7.10%
ARCE,-0.11268137268281464,0.5536001064840644,-0.20354290283370494,GB,-1.0,9.29%,-11.71%,-10.57%,-6.87%,-27.12%,nan%,13.27%
ARCT,1.9671325048003983,1.6024408333852878,1.2275851088022198,CNMD,-1.0000000000000002,7.06%,7.03%,67.04%,33.99%,38.73%,nan%,96.06%
ARGX,0.7788814472907345,0.541136753189126,1.4393430915577032,MPLN,-0.3579142622463823,-1.60%,-5.78%,-0.36%,18.09%,27.33%,nan%,26.16%
ARNA,0.5370022841404376,0.5541357831850643,0.9690806846182236,BIGC,-0.39408835324524377,0.66%,-4.43%,-3.37%,-13.39%,20.93%,nan%,5.66%
ARRY,0.6019221396650243,0.717198465433471,0.8392685827921086,BKE,-1.0,2.09%,-20.16%,-5.52%,10.61%,nan%,nan%,1.55%
ARVN,0.6340733565733756,0.9968742842850344,0.636061504012151,BNTX,-0.39529191498827254,-0.70%,-10.29%,-11.17%,260.78%,139.49%,nan%,-2.11%
ARWR,0.35280548558337976,0.776054085982825,0.45461455838683357,CD,-0.3336385450749341,4.47%,-5.97%,0.57%,34.68%,79.17%,nan%,17.91%
ASML,0.5746062887745134,0.4872536379526128,1.179275523090904,AXON,-1.0,2.31%,-6.20%,9.52%,48.46%,51.60%,nan%,13.35%
ASND,0.09867107723451331,0.38850232795774764,0.2539780849015774,LU,-0.4135112698084779,0.60%,-6.54%,-9.97%,-8.08%,9.11%,nan%,-8.43%
ASO,1.7890098841947453,0.47093844406765933,3.7988189469996203,ETRN,-1.0000000000000002,1.31%,-4.27%,3.71%,46.26%,nan%,nan%,15.39%
ATRC,0.5589756849622916,0.5132392769731962,1.0891132266003172,WFG,-0.18454838629130524,0.00%,-1.42%,4.60%,68.49%,42.69%,nan%,7.31%
ATVI,0.5092863087137594,0.3907123731621979,1.3034813937216607,ACCD,-0.2792797872192671,-0.10%,-3.63%,-1.99%,20.16%,10.13%,nan%,9.43%
AUB,-0.030833705943641192,0.6675038637372822,-0.046192550513500547,MRNA,-1.0000000000000002,4.50%,-10.88%,-0.30%,30.95%,48.35%,nan%,6.19%
AVAV,0.5499914023721627,0.5885998643429972,0.9344062676366232,NNOX,-0.11365157150969366,0.50%,-13.87%,32.07%,50.30%,49.93%,nan%,41.16%
AVGO,0.40216828906262825,0.5073819581226023,0.7926341932825476,AXON,-1.0000000000000002,1.17%,-3.12%,2.89%,29.95%,44.75%,nan%,6.43%
AVIR,3.9807512948973027,0.9643267500938091,4.128010857844665,VG,-0.5535436607181822,-7.15%,34.51%,74.72%,140.61%,nan%,nan%,105.98%
AVT,-0.07284994864529348,0.5447458763351847,-0.13373198735417058,JAMF,-1.0000000000000002,2.01%,-10.13%,0.57%,44.13%,34.07%,nan%,7.38%
AXNX,0.6310945522536853,0.6628876135755472,0.9520385346312727,VIV,-1.0000000000000002,1.86%,-8.58%,3.57%,10.26%,22.05%,nan%,7.73%
AXON,1.3728591550922238,0.8829500122613821,1.5548549023473057,ASML,-1.0,4.65%,77.20%,77.20%,77.20%,97.47%,nan%,91.26%
AXSM,-0.21057350937342595,0.752793455919748,-0.279722821336367,SWN,-1.0,0.46%,-8.79%,-16.42%,2.68%,-4.54%,nan%,-7.63%
AY,0.5315563511522251,0.5039841367701929,1.0547084964989772,SRNE,-0.18654230054414508,-0.44%,-10.48%,8.87%,41.91%,41.59%,nan%,17.77%
AZN,0.019172333846507787,0.35234386046278604,0.05441370206174697,ABCM,-1.0,0.72%,-4.98%,1.22%,0.88%,-8.56%,nan%,-0.52%
AZPN,0.1791328316967094,0.5198843047357918,0.3445628769034405,MP,-0.6381170357885575,1.47%,-5.96%,2.80%,21.94%,37.67%,nan%,16.27%
BAND,0.9567973215422299,0.5081624659468809,1.882857128692865,COTY,-1.0,2.12%,5.27%,15.92%,11.09%,23.04%,nan%,20.39%
BANF,0.03453375662683975,0.7299259299104696,0.0473113164113454,WPM,-1.0000000000000002,3.64%,-10.69%,-1.82%,30.42%,34.18%,nan%,6.15%
